Alert ID,Transaction ID,Account Number,Alert Type,Risk Score,Severity,Status,Created At
ALT20260816175348433,TXN_RING_CA,ACC_RING_C,"New Account Activity, Mule Account Activity",60.0,HIGH,FALSE_POSITIVE,2026-08-16T17:53:48.369293
ALT20260816175348326,TXN_RING_BC,ACC_RING_B,"New Account Activity, Mule Account Activity",60.0,HIGH,OPEN,2026-08-16T17:53:48.268352
ALT20260816175348335,TXN_TRACE_HOP3,ACC1003,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T17:53:48.149911
ALT20260816175348678,TXN_TRACE_HOP2,ACC1002,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T17:53:48.003400
ALT20260816175347938,TXN_TRACE_HOP1,ACC1001,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T17:53:47.277042
ALT20260816054125768,,ACC_RING_C,"New Account Activity, Mule Account Activity",60.0,HIGH,OPEN,2026-08-16T05:41:25.816959
ALT20260816054125331,,ACC_RING_B,"New Account Activity, Mule Account Activity",60.0,HIGH,OPEN,2026-08-16T05:41:25.813315
ALT20260816054125694,,ACC1003,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T05:41:25.170046
ALT20260816054125207,,ACC1002,"Large Transaction, New Account Activity, Balance Drain, Mule Account Activity",100.0,CRITICAL,OPEN,2026-08-16T05:41:25.166654
ALT20260816054125190,,ACC1001,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:41:25.162518
ALT20260816051407185,TXN_MULE_OUT_421,ACC59760987,"Large Transaction, New Account Activity, Mule Account Activity",90.0,CRITICAL,FALSE_POSITIVE,2026-08-16T05:14:07.643466
ALT20260816051407126,TXN_DEV_IPHONE_241,ACC74473089,"Large Transaction, New Account Activity, Device Change",65.0,HIGH,OPEN,2026-08-16T05:14:07.427792
ALT20260816051406709,TXN_CRITICAL_2291,ACC50081547,"Very Large Transaction, New Account Activity, Balance Drain",100.0,CRITICAL,OPEN,2026-08-16T05:14:06.989934
ALT20260816051406520,TXN_DRAIN_2385,ACC70103438,"Large Transaction, Balance Drain",70.0,HIGH,OPEN,2026-08-16T05:14:06.768852
ALT20260816051406718,TXN_VERYLARGE_9496,ACC97828025,"Very Large Transaction, New Account Activity",70.0,HIGH,OPEN,2026-08-16T05:14:06.542442
ALT20260816051406734,TXN_LARGE_9918,ACC16314613,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:14:06.297197
ALT20260816051149913,TXN_CRITICAL_4975,ACC43907404,"Very Large Transaction, New Account Activity, Balance Drain",100.0,CRITICAL,OPEN,2026-08-16T05:11:49.044352
ALT20260816051148721,TXN_DRAIN_7223,ACC57224534,"Large Transaction, Balance Drain",70.0,HIGH,OPEN,2026-08-16T05:11:48.830284
ALT20260816051148953,TXN_VERYLARGE_9360,ACC92107699,"Very Large Transaction, New Account Activity",70.0,HIGH,OPEN,2026-08-16T05:11:48.598614
ALT20260816051148545,TXN_LARGE_1699,ACC16314613,"Large Transaction, New Account Activity",50.0,MEDIUM,OPEN,2026-08-16T05:11:48.356261
ALT20260815235543_028_59d5,,ACC1003,Rapid Transfers,94.0,CRITICAL,UNDER_REVIEW,2026-08-15T23:55:43.995695
ALT20260815182731_097_b7ea,,ACC36297523,"Impossible Travel, New Account Activity",73.0,HIGH,UNDER_REVIEW,2026-08-15T18:27:31.370295
ALT20260815160630_048_b39c,,ACC20858654,"Rapid Transfers, Balance Drain, New Account Activity",83.0,CRITICAL,UNDER_REVIEW,2026-08-15T16:06:30.388096
ALT20260815095130_061_5377,,ACC92107699,Rapid Transfers,74.0,HIGH,OPEN,2026-08-15T09:51:30.757181
ALT20260815045630_029_8466,,ACC70103438,Large Transaction,73.0,HIGH,OPEN,2026-08-15T04:56:30.565781
ALT20260815032849_013_4ed0,,ACC57029336,New Account Activity,66.0,HIGH,UNDER_REVIEW,2026-08-15T03:28:49.714997
ALT20260814172622_087_ea68,,ACC40593754,Rapid Transfers,90.0,CRITICAL,UNDER_REVIEW,2026-08-14T17:26:22.677025
ALT20260814102124_035_f443,,ACC_RING_A,Device Change,82.0,CRITICAL,UNDER_REVIEW,2026-08-14T10:21:24.000645
ALT20260813093505_106_c4c9,,ACC15373430,"Balance Drain, Impossible Travel",72.0,HIGH,UNDER_REVIEW,2026-08-13T09:35:05.633503
ALT20260813084437_010_dde9,,ACC91181015,Balance Drain,83.0,CRITICAL,UNDER_REVIEW,2026-08-13T08:44:37.095971
ALT20260813041524_119_48fa,,ACC97828025,New Account Activity,88.0,CRITICAL,OPEN,2026-08-13T04:15:24.404081
ALT20260812233300_057_bef8,,ACC91181015,Mule Account Activity,76.0,HIGH,OPEN,2026-08-12T23:33:00.919661
ALT20260812210151_045_73ca,,ACC1004,"Large Transaction, Balance Drain, Very Large Transaction",75.0,HIGH,CLOSED,2026-08-12T21:01:51.069339
ALT20260812135102_049_ac3f,,ACC1004,Mule Account Activity,79.0,HIGH,CLOSED,2026-08-12T13:51:02.031599
ALT20260812065543_016_f65b,,ACC75385116,"New Account Activity, Very Large Transaction",84.0,CRITICAL,CLOSED,2026-08-12T06:55:43.004545
ALT20260812061803_009_f9e5,,ACC25189145,Rapid Transfers,66.0,HIGH,OPEN,2026-08-12T06:18:03.694217
ALT20260812041708_069_1539,,ACC36297523,"Mule Account Activity, Device Change",85.0,CRITICAL,UNDER_REVIEW,2026-08-12T04:17:08.829771
ALT20260811191550_098_e056,,ACC43907404,Balance Drain,86.0,CRITICAL,UNDER_REVIEW,2026-08-11T19:15:50.352027
ALT20260810145643_111_26ba,,ACC10897161,Rapid Transfers,79.0,HIGH,CLOSED,2026-08-10T14:56:43.923939
ALT20260810115907_020_ff98,,ACC75385116,Large Transaction,77.0,HIGH,OPEN,2026-08-10T11:59:07.313418
ALT20260810053942_102_4517,,ACC39727090,Rapid Transfers,92.0,CRITICAL,UNDER_REVIEW,2026-08-10T05:39:42.294232
ALT20260808104410_000_e341,,ACC1001,New Account Activity,93.0,CRITICAL,UNDER_REVIEW,2026-08-08T10:44:10.459345
ALT20260808102515_030_3b2d,,ACC1001,Very Large Transaction,94.0,CRITICAL,OPEN,2026-08-08T10:25:15.631022
ALT20260808064720_074_1358,,ACC1002,"Mule Account Activity, Rapid Transfers",80.0,CRITICAL,UNDER_REVIEW,2026-08-08T06:47:20.529903
ALT20260808020130_024_2469,,ACC_RING_C,Rapid Transfers,65.0,HIGH,CLOSED,2026-08-08T02:01:30.885026
ALT20260808015122_014_d3ea,,ACC74473089,Large Transaction,94.0,CRITICAL,CLOSED,2026-08-08T01:51:22.918445
ALT20260807213743_003_cbce,,ACC20858654,"Very Large Transaction, Impossible Travel, Mule Account Activity",95.0,CRITICAL,UNDER_REVIEW,2026-08-07T21:37:43.006398
ALT20260807202547_001_1ca8,,ACC_RING_A,"Mule Account Activity, Large Transaction, Very Large Transaction",87.0,CRITICAL,OPEN,2026-08-07T20:25:47.090925
ALT20260806214646_005_f777,,ACC61076366,New Account Activity,75.0,HIGH,UNDER_REVIEW,2026-08-06T21:46:46.569412
ALT20260806211444_053_bd7c,,ACC_RING_C,Impossible Travel,68.0,HIGH,CLOSED,2026-08-06T21:14:44.692481
ALT20260806134035_056_3a70,,ACC57029336,Impossible Travel,98.0,CRITICAL,CLOSED,2026-08-06T13:40:35.994028
ALT20260806092130_041_90cd,,ACC16314613,"Rapid Transfers, New Account Activity, Large Transaction",71.0,HIGH,UNDER_REVIEW,2026-08-06T09:21:30.580699
ALT20260805224454_072_1614,,ACC75311120,"Impossible Travel, Rapid Transfers, Balance Drain",87.0,CRITICAL,OPEN,2026-08-05T22:44:54.778968
ALT20260805194907_027_5a9b,,ACC59760987,"Rapid Transfers, Balance Drain",78.0,HIGH,UNDER_REVIEW,2026-08-05T19:49:07.964621
ALT20260805194432_091_01dc,,ACC_RING_A,"Device Change, Rapid Transfers",95.0,CRITICAL,UNDER_REVIEW,2026-08-05T19:44:32.191358
ALT20260805055148_078_264e,,ACC91181015,Balance Drain,97.0,CRITICAL,OPEN,2026-08-05T05:51:48.776812
ALT20260805050335_079_77b0,,ACC57029336,"Very Large Transaction, Device Change, Large Transaction",71.0,HIGH,UNDER_REVIEW,2026-08-05T05:03:35.240168
ALT20260805045936_110_d362,,ACC75311120,"New Account Activity, Rapid Transfers, Mule Account Activity",89.0,CRITICAL,CLOSED,2026-08-05T04:59:36.162423
ALT20260805001738_042_ee87,,ACC15373430,Mule Account Activity,72.0,HIGH,UNDER_REVIEW,2026-08-05T00:17:38.033025
ALT20260804195552_086_a9cc,,ACC66777666,"Mule Account Activity, Balance Drain, Large Transaction",94.0,CRITICAL,CLOSED,2026-08-04T19:55:52.583009
