Case ID,Alert ID,Transaction ID,Current Holder,Amount At Risk,Recovery Score,Probability,Status,Recommended Action,Created At
REC202608164062,ALT20260816054125768,,ACC43249524,65000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.802263
REC202608163579,ALT20260816054125331,,ACC_RING_A,48000.0,60.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-16T07:20:22.722317
REC202608163797,ALT20260816054125694,,ACC1004,95000.0,100.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.644387
REC202608161466,ALT20260816054125207,,ACC1004,98000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.561607
REC202608168376,ALT20260816054125190,,ACC1004,100000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.481944
REC202608166664,ALT20260816051407185,TXN_MULE_OUT_421,ACC43249524,95000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.401400
REC202608169494,ALT20260816051407126,TXN_DEV_IPHONE_241,ACC15373430,55000.0,55.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-16T07:20:22.320523
REC202608162375,ALT20260816051406709,TXN_CRITICAL_2291,ACC16314613,150000.0,100.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.237805
REC202608165703,ALT20260816051406520,TXN_DRAIN_2385,ACC43249524,90000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.155831
REC202608163645,ALT20260816051406718,TXN_VERYLARGE_9496,ACC15373430,120000.0,55.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-16T07:20:22.077585
REC202608161586,ALT20260816051406734,TXN_LARGE_9918,ACC43249524,65000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:22.001922
REC202608166396,ALT20260816051149913,TXN_CRITICAL_4975,ACC16314613,150000.0,100.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:21.918900
REC202608162308,ALT20260816051148721,TXN_DRAIN_7223,ACC43249524,90000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:21.836907
REC202608166101,ALT20260816051148953,TXN_VERYLARGE_9360,ACC15373430,120000.0,55.0,MEDIUM,OPEN,Monitor account and request transaction hold,2026-08-16T07:20:21.759163
REC202608168920,ALT20260816051148545,TXN_LARGE_1699,ACC43249524,65000.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-16T07:20:21.674128
REC20260815_028_4c4c,ALT20260815235543_028_59d5,,ACC50081547,72551.0,78.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-15T23:55:43.995695
REC20260815_048_d790,ALT20260815160630_048_b39c,,ACC64246741,186427.0,87.0,HIGH,RECOVERED,Freeze destination account immediately,2026-08-15T16:06:30.388096
REC20260815_029_4436,ALT20260815045630_029_8466,,ACC_RING_A,122127.0,85.0,HIGH,OPEN,Freeze destination account immediately,2026-08-15T04:56:30.565781
REC20260815_013_7d77,ALT20260815032849_013_4ed0,,ACC66777666,141450.0,67.0,MEDIUM,RECOVERED,Monitor account and request transaction hold,2026-08-15T03:28:49.714997
REC20260814_035_7110,ALT20260814102124_035_f443,,ACC15373430,198780.0,44.0,LOW,RECOVERED,Escalate to law enforcement and continue tracing,2026-08-14T10:21:24.000645
REC20260813_010_b7d4,ALT20260813084437_010_dde9,,ACC97828025,112523.0,37.0,LOW,ACTION_TAKEN,Escalate to law enforcement and continue tracing,2026-08-13T08:44:37.095971
REC20260812_057_7113,ALT20260812233300_057_bef8,,ACC57224534,233834.0,39.0,LOW,RECOVERED,Escalate to law enforcement and continue tracing,2026-08-12T23:33:00.919661
REC20260812_045_c48f,ALT20260812210151_045_73ca,,ACC66777666,206910.0,80.0,HIGH,ACTION_TAKEN,Freeze destination account immediately,2026-08-12T21:01:51.069339
REC20260812_049_562a,ALT20260812135102_049_ac3f,,ACC15211290,119824.0,93.0,HIGH,RECOVERED,Freeze destination account immediately,2026-08-12T13:51:02.031599
REC20260812_016_e511,ALT20260812065543_016_f65b,,ACC43467724,194407.0,73.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-12T06:55:43.004545
REC20260812_009_3272,ALT20260812061803_009_f9e5,,ACC57224534,75126.0,85.0,HIGH,ACTION_TAKEN,Freeze destination account immediately,2026-08-12T06:18:03.694217
REC20260810_020_c94c,ALT20260810115907_020_ff98,,ACC39727090,225224.0,66.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-08-10T11:59:07.313418
REC20260808_000_d8c7,ALT20260808104410_000_e341,,ACC15373430,170588.0,59.0,MEDIUM,ACTION_TAKEN,Monitor account and request transaction hold,2026-08-08T10:44:10.459345
REC20260808_030_27d2,ALT20260808102515_030_3b2d,,ACC15211290,108895.0,95.0,HIGH,RECOVERED,Freeze destination account immediately,2026-08-08T10:25:15.631022
REC20260808_024_9f10,ALT20260808020130_024_2469,,ACC10897161,176430.0,54.0,MEDIUM,FAILED,Monitor account and request transaction hold,2026-08-08T02:01:30.885026
REC20260808_014_e410,ALT20260808015122_014_d3ea,,ACC_RING_A,126605.0,92.0,HIGH,OPEN,Freeze destination account immediately,2026-08-08T01:51:22.918445
