Transaction ID,Sender Account,Receiver Account,Amount (INR),Risk Score,Is Flagged,Status,Timestamp,Location,Device Info,Remark
TXN_RING_CA,ACC_RING_C,ACC_RING_A,46000.0,60.0,True,completed,2026-08-16T17:33:48.261766,,,Ring leg 3 (complete cycle)
TXN_RING_BC,ACC_RING_B,ACC_RING_C,48000.0,60.0,True,completed,2026-08-16T17:23:48.261743,,,Ring leg 2
TXN_RING_AB,ACC_RING_A,ACC_RING_B,50000.0,20.0,False,completed,2026-08-16T17:13:48.261699,,,Ring leg 1
TXN_TRACE_HOP3,ACC1003,ACC1004,95000.0,100.0,True,completed,2026-08-16T16:18:47.264606,,,Pass through transfer 2 to final holder
TXN_TRACE_HOP2,ACC1002,ACC1003,98000.0,100.0,True,completed,2026-08-16T16:03:47.264606,,,Pass through transfer 1
TXN_TRACE_HOP1,ACC1001,ACC1002,100000.0,50.0,True,completed,2026-08-16T15:53:47.264606,,,Phishing scam payment
TXN_20260816_03824_3e523e,ACC1004,ACC64246741,9317.13,23.0,False,completed,2026-08-16T07:11:01.419303,"Kolkata, IN",Windows 11 (Edge 128),Online payment
TXN_20260816_05062_cdc300,ACC75385116,ACC65809811,818.63,10.0,False,completed,2026-08-16T07:06:26.985718,"Jaipur, IN",Pixel 9 Pro,Software subscription
TXN_20260816_03230_c196a8,ACC1002,ACC43907404,4893.83,27.0,False,completed,2026-08-16T06:57:57.586143,"Jaipur, IN",iPhone 16 Pro Max,P2P transfer
TXN_20260816_01548_84c68c,ACC36297523,ACC82456100,5897.33,17.0,False,completed,2026-08-16T06:48:31.423382,"Hyderabad, IN",Pixel 9 Pro,Invoice settlement
TXN_20260816_01202_0d3557,ACC91181015,ACC97828025,19880.77,26.0,False,completed,2026-08-16T06:44:53.474394,"Kolkata, IN",Pixel 9 Pro,Utility bill
TXN_20260816_00830_46a093,ACC92107699,ACC70103438,886.69,20.0,False,completed,2026-08-16T06:27:45.232770,"Jaipur, IN",iPad Pro (Safari),Grocery purchase
TXN_20260816_03509_9f670d,ACC39727090,ACC64246741,7959.29,21.0,False,completed,2026-08-16T06:26:38.868589,"Delhi, IN",MacBook Pro (Chrome 128),Online payment
TXN_20260816_03375_91dd5e,ACC59760987,ACC11706152,31566.7,22.0,False,completed,2026-08-16T06:20:15.678930,"Mumbai, IN",OnePlus 12,Rent transfer
TXN_20260816_04685_9d5f2d,ACC91181015,ACC10897161,32500.77,7.0,False,completed,2026-08-16T06:13:27.544727,"Chennai, IN",Samsung Galaxy S24 Ultra,Grocery purchase
TXN_20260816_03315_1b51da,ACC75311120,ACC75385116,17278.66,8.0,False,completed,2026-08-16T06:00:58.832431,"Jaipur, IN",Pixel 9 Pro,P2P transfer
TXN_20260816_04089_d29996,ACC40593754,ACC20858654,38748.65,28.0,False,completed,2026-08-16T05:59:52.043391,"Pune, IN",iPad Pro (Safari),Software subscription
TXN_20260816_04642_c2da03,ACC16314613,ACC1001,27885.78,15.0,False,completed,2026-08-16T05:58:31.556045,"Kolkata, IN",iPhone 16 Pro Max,Software subscription
TXN_20260816_03644_f91e51,ACC15373430,ACC75385116,9304.45,16.0,False,completed,2026-08-16T05:47:44.024552,"Pune, IN",Samsung Galaxy S24 Ultra,Invoice settlement
TXN_20260816_02893_3862b4,ACC57224534,ACC50081547,22578.25,14.0,False,completed,2026-08-16T05:47:17.283100,"Bangalore, IN",Samsung Galaxy S24 Ultra,Vendor payment
TXN_20260816_00144_1510a0,ACC20858654,ACC75311120,5316.41,22.0,False,completed,2026-08-16T05:27:42.386203,"Delhi, IN",iPhone 16 Pro Max,Online payment
TXN_20260816_04822_c8e99a,ACC1002,ACC36297523,19599.6,19.0,False,completed,2026-08-16T05:21:55.121046,"Hyderabad, IN",Pixel 9 Pro,Invoice settlement
TXN_CRITICAL_2291,ACC50081547,ACC16314613,150000.0,100.0,True,completed,2026-08-16T05:13:36.986890,,,Urgent overseas remittance
TXN_CRITICAL_4975,ACC43907404,ACC16314613,150000.0,100.0,True,completed,2026-08-16T05:11:19.042479,,,Urgent overseas remittance
TXN_TRAVEL_DEL_137,ACC65809811,ACC43249524,15000.0,20.0,False,completed,2026-08-16T05:09:07.210208,"Delhi, IN",,
TXN_RAPID_4_114,ACC20858654,ACC64246741,15000.0,25.0,False,completed,2026-08-16T05:06:06.543092,,,Rapid split transfer #4
TXN_20260816_01589_34a1a8,ACC36297523,ACC25189145,26775.56,23.0,False,completed,2026-08-16T05:05:50.576781,"Delhi, IN",Pixel 9 Pro,Vendor payment
TXN_RAPID_3_240,ACC20858654,ACC11706152,15000.0,25.0,False,completed,2026-08-16T05:05:26.543092,,,Rapid split transfer #3
TXN_RAPID_2_604,ACC20858654,ACC75385116,15000.0,25.0,False,completed,2026-08-16T05:04:46.543092,,,Rapid split transfer #2
TXN_MULE_OUT_421,ACC59760987,ACC43249524,95000.0,90.0,True,completed,2026-08-16T05:04:07.641029,,,Forwarding funds to Layer 2
TXN_TRAVEL_MUM_781,ACC65809811,ACC16314613,10000.0,,False,completed,2026-08-16T05:04:07.209415,"Mumbai, IN",,
TXN_RAPID_1_391,ACC20858654,ACC15373430,15000.0,25.0,False,completed,2026-08-16T05:04:06.543092,,,Rapid split transfer #1
TXN_RAPID_4_799,ACC20858654,ACC64246741,15000.0,25.0,False,completed,2026-08-16T05:03:48.599170,,,Rapid split transfer #4
TXN_RAPID_3_986,ACC20858654,ACC11706152,15000.0,25.0,False,completed,2026-08-16T05:03:08.599170,,,Rapid split transfer #3
TXN_RAPID_2_632,ACC20858654,ACC75385116,15000.0,0.0,False,completed,2026-08-16T05:02:28.599170,,,Rapid split transfer #2
TXN_RAPID_1_923,ACC20858654,ACC15373430,15000.0,0.0,False,completed,2026-08-16T05:01:48.599170,,,Rapid split transfer #1
TXN_DRAIN_2385,ACC70103438,ACC43249524,90000.0,70.0,True,completed,2026-08-16T04:59:06.765608,,,Account clearance transfer
TXN_DRAIN_7223,ACC57224534,ACC43249524,90000.0,70.0,True,completed,2026-08-16T04:56:48.827775,,,Account clearance transfer
TXN_MULE_IN_284,ACC16314613,ACC59760987,100000.0,,False,completed,2026-08-16T04:44:07.640283,,,Inbound victim payment
TXN_20260816_04681_4958e0,ACC50081547,ACC64246741,29656.46,24.0,False,completed,2026-08-16T04:34:09.653315,"Bangalore, IN",iPad Pro (Safari),Invoice settlement
